HRR,Time_Period,Total_Hospital_Beds,Available_Hospital_Beds,Hospital_Beds_Needed,Total_ICU_Beds,Available_ICU_Beds,ICU_Beds_Needed,Bed_Occupancy_Rate,ICU_Occupancy_Rate
"Hickory, NC",12 Months,603,253,323,64,25,71,53.5655058,110.9375
"Hickory, NC",18 Months,603,253,211,64,25,46,34.99170813,71.875
"Hinsdale, IL",6 Months,1041,402,1063,172,89,226,102.1133525,131.3953488
"Hinsdale, IL",12 Months,1041,402,532,172,89,113,51.10470701,65.69767442
"Hinsdale, IL",18 Months,1041,402,347,172,89,74,33.33333333,43.02325581
"Honolulu, HI",6 Months,2623,795,3124,219,73,679,119.1002669,310.0456621
"Honolulu, HI",12 Months,2623,795,1562,219,73,340,59.55013343,155.2511416
"Honolulu, HI",18 Months,2623,795,1019,219,73,222,38.84864659,101.369863
"Houma, LA",6 Months,707,399,570,65,32,122,80.62234795,187.6923077
"Houma, LA",12 Months,707,399,285,65,32,61,40.31117397,93.84615385
"Houma, LA",18 Months,707,399,186,65,32,40,26.30834512,61.53846154
"Houston, TX",6 Months,14062,5130,14347,1790,652,3004,102.0267387,167.8212291
"Houston, TX",12 Months,14062,5130,7174,1790,652,1502,51.01692505,83.91061453
"Houston, TX",18 Months,14062,5130,4678,1790,652,979,33.2669606,54.69273743
"Hudson, FL",6 Months,1188,329,1033,160,45,237,86.95286195,148.125
"Hudson, FL",12 Months,1188,329,516,160,45,118,43.43434343,73.75
"Hudson, FL",18 Months,1188,329,337,160,45,77,28.36700337,48.125
"Huntington, WV",6 Months,1561,382,780,162,64,171,49.96796925,105.5555556
"Huntington, WV",12 Months,1561,382,390,162,64,86,24.98398463,53.08641975
"Huntington, WV",18 Months,1561,382,254,162,64,56,16.27162076,34.56790123
"Huntsville, AL",6 Months,1804,569,1409,248,59,304,78.10421286,122.5806452
"Huntsville, AL",12 Months,1804,569,705,248,59,152,39.07982262,61.29032258
"Huntsville, AL",18 Months,1804,569,460,248,59,99,25.49889135,39.91935484
"Idaho Falls, ID",6 Months,492,269,466,44,24,99,94.71544715,225
"Idaho Falls, ID",12 Months,492,269,233,44,24,49,47.35772358,111.3636364
"Idaho Falls, ID",18 Months,492,269,152,44,24,32,30.89430894,72.72727273
"Indianapolis, IN",6 Months,7441,3350,6221,1081,403,1331,83.60435425,123.1267345
"Indianapolis, IN",12 Months,7441,3350,3111,1081,403,666,41.80889665,61.60962072
"Indianapolis, IN",18 Months,7441,3350,2029,1081,403,434,27.26784034,40.1480111
"Iowa City, IA",6 Months,1414,538,775,147,64,166,54.80905233,112.9251701
"Iowa City, IA",12 Months,1414,538,387,147,64,83,27.36916549,56.46258503
"Iowa City, IA",18 Months,1414,538,253,147,64,54,17.89250354,36.73469388
"Jackson, MS",6 Months,4425,1964,2201,406,149,473,49.74011299,116.5024631
"Jackson, MS",12 Months,4425,1964,1101,406,149,237,24.88135593,58.37438424
"Jackson, MS",18 Months,4425,1964,718,406,149,154,16.2259887,37.93103448
"Jackson, TN",6 Months,1063,423,723,115,57,158,68.01505174,137.3913043
"Jackson, TN",12 Months,1063,423,361,115,57,79,33.96048918,68.69565217
"Jackson, TN",18 Months,1063,423,236,115,57,52,22.20131703,45.2173913
"Jacksonville, FL",6 Months,4947,1625,3717,618,183,798,75.13644633,129.1262136
"Jacksonville, FL",12 Months,4947,1625,1859,618,183,399,37.5783303,64.5631068
"Jacksonville, FL",18 Months,4947,1625,1212,618,183,260,24.49969679,42.07119741
"Johnson City, TN",6 Months,956,342,662,94,39,144,69.24686192,153.1914894
"Johnson City, TN",12 Months,956,342,331,94,39,72,34.62343096,76.59574468
"Johnson City, TN",18 Months,956,342,216,94,39,47,22.59414226,50
"Johnstown, PA",6 Months,741,426,490,44,25,109,66.1268556,247.7272727
"Johnstown, PA",12 Months,741,426,245,44,25,55,33.0634278,125
"Johnstown, PA",18 Months,741,426,160,44,25,36,21.59244265,81.81818182
"Joliet, IL",6 Months,1376,662,1424,149,53,303,103.4883721,203.3557047
"Joliet, IL",12 Months,1376,662,712,149,53,152,51.74418605,102.0134228
"Joliet, IL",18 Months,1376,662,464,149,53,99,33.72093023,66.44295302
"Jonesboro, AR",6 Months,975,403,520,76,23,113,53.33333333,148.6842105
"Jonesboro, AR",12 Months,975,403,260,76,23,56,26.66666667,73.68421053
"Jonesboro, AR",18 Months,975,403,170,76,23,37,17.43589744,48.68421053
"Joplin, MO",6 Months,1045,507,797,124,71,175,76.26794258,141.1290323
"Joplin, MO",12 Months,1045,507,399,124,71,87,38.18181818,70.16129032
"Joplin, MO",18 Months,1045,507,260,124,71,57,24.88038278,45.96774194
"Kalamazoo, MI",6 Months,1462,681,1451,139,21,314,99.24760602,225.8992806
"Kalamazoo, MI",12 Months,1462,681,725,139,21,157,49.58960328,112.9496403
"Kalamazoo, MI",18 Months,1462,681,473,139,21,102,32.35294118,73.38129496
"Kansas City, MO",6 Months,6736,2646,5401,795,286,1157,80.18111639,145.5345912
"Kansas City, MO",12 Months,6736,2646,2701,795,286,578,40.097981,72.70440252
"Kansas City, MO",18 Months,6736,2646,1761,795,286,377,26.14311164,47.42138365
"Kettering, OH",6 Months,923,412,940,138,42,205,101.8418202,148.5507246
"Kettering, OH",12 Months,923,412,470,138,42,102,50.92091008,73.91304348
"Kettering, OH",18 Months,923,412,306,138,42,67,33.15276273,48.55072464
"Kingsport, TN",6 Months,1485,668,1071,185,75,237,72.12121212,128.1081081
"Kingsport, TN",12 Months,1485,668,536,185,75,119,36.09427609,64.32432432
"Kingsport, TN",18 Months,1485,668,349,185,75,77,23.5016835,41.62162162
"Knoxville, TN",6 Months,3193,1198,3125,299,74,684,97.87034137,228.7625418
"Knoxville, TN",12 Months,3193,1198,1562,299,74,342,48.91951143,114.3812709
"Knoxville, TN",18 Months,3193,1198,1019,299,74,223,31.91356091,74.5819398
"La Crosse, WI",6 Months,650,286,785,78,44,171,120.7692308,219.2307692
"La Crosse, WI",12 Months,650,286,393,78,44,86,60.46153846,110.2564103
"La Crosse, WI",18 Months,650,286,256,78,44,56,39.38461538,71.79487179
"Lafayette, IN",6 Months,457,193,546,34,14,115,119.4748359,338.2352941
"Lafayette, IN",12 Months,457,193,273,34,14,58,59.73741794,170.5882353
"Lafayette, IN",18 Months,457,193,178,34,14,38,38.94967177,111.7647059
"Lafayette, LA",6 Months,1716,700,1319,188,87,282,76.86480186,150
"Lafayette, LA",12 Months,1716,700,659,188,87,141,38.4032634,75
"Lafayette, LA",18 Months,1716,700,430,188,87,92,25.05827506,48.93617021
"Lake Charles, LA",6 Months,830,424,582,81,44,124,70.12048193,153.0864198
"Lake Charles, LA",12 Months,830,424,291,81,44,62,35.06024096,76.54320988
"Lake Charles, LA",18 Months,830,424,190,81,44,40,22.89156627,49.38271605
"Lakeland, FL",6 Months,1046,382,897,103,57,197,85.75525813,191.2621359
"Lakeland, FL",12 Months,1046,382,448,103,57,98,42.82982792,95.14563107
"Lakeland, FL",18 Months,1046,382,292,103,57,64,27.91586998,62.13592233
"Lancaster, PA",6 Months,1081,468,1482,98,40,322,137.0952821,328.5714286
"Lancaster, PA",12 Months,1081,468,741,98,40,161,68.54764107,164.2857143
"Lancaster, PA",18 Months,1081,468,483,98,40,105,44.68085106,107.1428571
"Lansing, MI",6 Months,1444,632,1553,240,115,332,107.5484765,138.3333333
"Lansing, MI",12 Months,1444,632,777,240,115,166,53.80886427,69.16666667
"Lansing, MI",18 Months,1444,632,506,240,115,108,35.04155125,45
"Las Vegas, NV",6 Months,4165,1088,4727,761,162,1014,113.4933974,133.2457293
"Las Vegas, NV",12 Months,4165,1088,2363,761,162,507,56.73469388,66.62286465
"Las Vegas, NV",18 Months,4165,1088,1541,761,162,331,36.99879952,43.49540079
"Lawton, OK",6 Months,733,346,423,76,32,91,57.70804911,119.7368421
"Lawton, OK",12 Months,733,346,211,76,32,45,28.78581173,59.21052632
"Lawton, OK",18 Months,733,346,138,76,32,30,18.82673943,39.47368421
"Lebanon, NH",6 Months,939,333,910,105,56,201,96.91160809,191.4285714
"Lebanon, NH",12 Months,939,333,455,105,56,101,48.45580405,96.19047619
"Lebanon, NH",18 Months,939,333,297,105,56,66,31.62939297,62.85714286
"Lexington, KY",6 Months,5045,2073,3315,579,172,713,65.7086224,123.1433506
"Lexington, KY",12 Months,5045,2073,1657,579,172,357,32.8444004,61.65803109
"Lexington, KY",18 Months,5045,2073,1081,579,172,233,21.4271556,40.2417962
"Lincoln, NE",6 Months,2047,1016,1282,116,33,277,62.62823644,238.7931034
"Lincoln, NE",12 Months,2047,1016,641,116,33,139,31.31411822,119.8275862
"Lincoln, NE",18 Months,2047,1016,418,116,33,90,20.42012702,77.5862069
"Little Rock, AR",6 Months,4854,2174,3399,520,177,739,70.02472188,142.1153846
"Little Rock, AR",12 Months,4854,2174,1700,520,177,370,35.02266172,71.15384615
"Little Rock, AR",18 Months,4854,2174,1109,520,177,241,22.84713638,46.34615385
"Longview, TX",6 Months,224,98,451,45,21,98,201.3392857,217.7777778
"Longview, TX",12 Months,224,98,225,45,21,49,100.4464286,108.8888889
"Longview, TX",18 Months,224,98,147,45,21,32,65.625,71.11111111
"Los Angeles, CA",6 Months,19492,6594,21554,2415,942,4553,110.578699,188.5300207
"Los Angeles, CA",12 Months,19492,6594,10777,2415,942,2277,55.28934948,94.28571429
"Los Angeles, CA",18 Months,19492,6594,7029,2415,942,1485,36.06094808,61.49068323
"Louisville, KY",6 Months,4162,1700,3855,506,165,831,92.62373859,164.229249
"Louisville, KY",12 Months,4162,1700,1927,506,165,415,46.29985584,82.01581028
"Louisville, KY",18 Months,4162,1700,1257,506,165,271,30.20182605,53.55731225
"Lubbock, TX",6 Months,1811,922,1501,298,85,318,82.88238542,106.7114094
"Lubbock, TX",12 Months,1811,922,750,298,85,159,41.41358366,53.3557047
"Lubbock, TX",18 Months,1811,922,489,298,85,104,27.00165654,34.89932886
"Lynchburg, VA",6 Months,1174,309,614,55,20,135,52.29982964,245.4545455
"Lynchburg, VA",12 Months,1174,309,307,55,20,67,26.14991482,121.8181818
"Lynchburg, VA",18 Months,1174,309,200,55,20,44,17.03577513,80
"Macon, GA",6 Months,2295,865,1582,240,57,341,68.93246187,142.0833333
"Macon, GA",12 Months,2295,865,791,240,57,170,34.46623094,70.83333333
"Macon, GA",18 Months,2295,865,516,240,57,111,22.48366013,46.25
"Madison, WI",6 Months,2443,838,2457,267,121,527,100.5730659,197.3782772
"Madison, WI",12 Months,2443,838,1228,267,121,263,50.26606631,98.50187266
"Madison, WI",18 Months,2443,838,801,267,121,172,32.78755628,64.41947566
"Manchester, NH",6 Months,1603,582,1992,137,53,430,124.2669994,313.8686131
"Manchester, NH",12 Months,1603,582,996,137,53,215,62.13349969,156.9343066
"Manchester, NH",18 Months,1603,582,650,137,53,140,40.54897068,102.189781
"Manhattan, NY",6 Months,14834,3059,11491,1427,616,2445,77.46393421,171.3384723
"Manhattan, NY",12 Months,14834,3059,5746,1427,616,1223,38.73533774,85.7042747
"Manhattan, NY",18 Months,14834,3059,3747,1427,616,797,25.2595389,55.85143658
"Marquette, MI",6 Months,601,276,453,47,18,100,75.37437604,212.7659574
"Marquette, MI",12 Months,601,276,227,47,18,50,37.7703827,106.3829787
"Marquette, MI",18 Months,601,276,148,47,18,33,24.62562396,70.21276596
"Marshfield, WI",6 Months,706,281,838,68,34,185,118.6968839,272.0588235
"Marshfield, WI",12 Months,706,281,419,68,34,92,59.34844193,135.2941176
"Marshfield, WI",18 Months,706,281,273,68,34,60,38.66855524,88.23529412
"Mason City, IA",6 Months,470,239,288,18,6,64,61.27659574,355.5555556
"Mason City, IA",12 Months,470,239,144,18,6,32,30.63829787,177.7777778
"Mason City, IA",18 Months,470,239,94,18,6,21,20,116.6666667
"McAllen, TX",6 Months,1938,849,1326,350,133,279,68.42105263,79.71428571
"McAllen, TX",12 Months,1938,849,663,350,133,139,34.21052632,39.71428571
"McAllen, TX",18 Months,1938,849,433,350,133,91,22.34262126,26
"Medford, OR",6 Months,855,369,1011,72,25,227,118.245614,315.2777778
"Medford, OR",12 Months,855,369,505,72,25,113,59.06432749,156.9444444
"Medford, OR",18 Months,855,369,330,72,25,74,38.59649123,102.7777778
"Melrose Park, IL",6 Months,2902,1122,2848,334,137,608,98.13921433,182.0359281
"Melrose Park, IL",12 Months,2902,1122,1424,334,137,304,49.06960717,91.01796407
"Melrose Park, IL",18 Months,2902,1122,929,334,137,198,32.01240524,59.28143713
"Memphis, TN",6 Months,5054,2045,3773,543,139,806,74.65373961,148.4346225
"Memphis, TN",12 Months,5054,2045,1886,543,139,403,37.31697665,74.21731123
"Memphis, TN",18 Months,5054,2045,1230,543,139,263,24.33715869,48.43462247
"Meridian, MS",6 Months,1117,445,416,57,19,91,37.24261415,159.6491228
"Meridian, MS",12 Months,1117,445,208,57,19,45,18.62130707,78.94736842
"Meridian, MS",18 Months,1117,445,136,57,19,30,12.17547001,52.63157895
"Mesa, AZ",6 Months,2091,648,3146,291,108,675,150.4543281,231.9587629
"Mesa, AZ",12 Months,2091,648,1573,291,108,337,75.22716404,115.8075601
"Mesa, AZ",18 Months,2091,648,1026,291,108,220,49.06743185,75.60137457
"Metairie, LA",6 Months,857,406,1025,111,44,222,119.6032672,200
"Metairie, LA",12 Months,857,406,512,111,44,111,59.74329055,100
"Metairie, LA",18 Months,857,406,334,111,44,72,38.97316219,64.86486486
"Miami, FL",6 Months,9139,2952,7612,981,280,1636,83.29138855,166.7686035
"Miami, FL",12 Months,9139,2952,3806,981,280,818,41.64569428,83.38430173
"Miami, FL",18 Months,9139,2952,2482,981,280,534,27.15833242,54.43425076
"Milwaukee, WI",6 Months,5263,2207,5749,818,323,1230,109.234277,150.3667482
"Milwaukee, WI",12 Months,5263,2207,2875,818,323,615,54.6266388,75.18337408
"Milwaukee, WI",18 Months,5263,2207,1875,818,323,401,35.62606878,49.02200489
"Minneapolis, MN",6 Months,6954,2458,7117,612,238,1525,102.3439747,249.1830065
"Minneapolis, MN",12 Months,6954,2458,3559,612,238,762,51.17917745,124.5098039
"Minneapolis, MN",18 Months,6954,2458,2321,612,238,497,33.37647397,81.20915033
"Minot, ND",6 Months,916,384,309,19,9,66,33.73362445,347.3684211
"Minot, ND",12 Months,916,384,155,19,9,33,16.92139738,173.6842105
"Minot, ND",18 Months,916,384,101,19,9,21,11.02620087,110.5263158
"Missoula, MT",6 Months,1002,455,892,79,39,196,89.02195609,248.1012658
"Missoula, MT",12 Months,1002,455,446,79,39,98,44.51097804,124.0506329
"Missoula, MT",18 Months,1002,455,291,79,39,64,29.04191617,81.01265823
"Mobile, AL",6 Months,2066,695,1815,282,101,394,87.85091965,139.7163121
"Mobile, AL",12 Months,2066,695,908,282,101,197,43.94966118,69.85815603
"Mobile, AL",18 Months,2066,695,592,282,101,128,28.65440465,45.39007092
"Modesto, CA",6 Months,1478,467,1877,118,44,400,126.9959405,338.9830508
"Modesto, CA",12 Months,1478,467,938,118,44,200,63.46414073,169.4915254
"Modesto, CA",18 Months,1478,467,612,118,44,130,41.40730717,110.1694915
"Monroe, LA",6 Months,1064,561,571,102,36,123,53.66541353,120.5882353
"Monroe, LA",12 Months,1064,561,285,102,36,62,26.78571429,60.78431373
"Monroe, LA",18 Months,1064,561,186,102,36,40,17.48120301,39.21568627
"Montgomery, AL",6 Months,1225,461,1000,131,61,215,81.63265306,164.1221374
"Montgomery, AL",12 Months,1225,461,500,131,61,107,40.81632653,81.67938931
"Montgomery, AL",18 Months,1225,461,326,131,61,70,26.6122449,53.4351145
"Morgantown, WV",6 Months,1555,499,921,155,40,200,59.22829582,129.0322581
"Morgantown, WV",12 Months,1555,499,461,155,40,100,29.64630225,64.51612903
"Morgantown, WV",18 Months,1555,499,300,155,40,65,19.2926045,41.93548387
"Morristown, NJ",6 Months,1862,589,2214,147,54,478,118.9044039,325.170068
"Morristown, NJ",12 Months,1862,589,1107,147,54,239,59.45220193,162.585034
"Morristown, NJ",18 Months,1862,589,722,147,54,156,38.7755102,106.122449
"Muncie, IN",6 Months,377,129,361,36,8,79,95.75596817,219.4444444
"Muncie, IN",12 Months,377,129,181,36,8,39,48.01061008,108.3333333
"Muncie, IN",18 Months,377,129,118,36,8,26,31.29973475,72.22222222
"Munster, IN",6 Months,1500,642,665,105,42,143,44.33333333,136.1904762
"Munster, IN",12 Months,1500,642,332,105,42,71,22.13333333,67.61904762
"Munster, IN",18 Months,1500,642,217,105,42,47,14.46666667,44.76190476
"Muskegon, MI",6 Months,501,253,589,57,40,128,117.5648703,224.5614035
"Muskegon, MI",12 Months,501,253,294,57,40,64,58.68263473,112.2807018
"Muskegon, MI",18 Months,501,253,192,57,40,42,38.32335329,73.68421053
"Napa, CA",6 Months,456,152,621,70,41,137,136.1842105,195.7142857
"Napa, CA",12 Months,456,152,311,70,41,69,68.20175439,98.57142857
"Napa, CA",18 Months,456,152,203,70,41,45,44.51754386,64.28571429
"Nashville, TN",6 Months,7810,2987,6303,1118,317,1346,80.70422535,120.3935599
"Nashville, TN",12 Months,7810,2987,3152,1118,317,673,40.35851472,60.19677996
"Nashville, TN",18 Months,7810,2987,2055,1118,317,439,26.31241997,39.26654741
"Neenah, WI",6 Months,447,262,537,46,25,116,120.1342282,252.173913
"Neenah, WI",12 Months,447,262,268,46,25,58,59.95525727,126.0869565
"Neenah, WI",18 Months,447,262,175,46,25,38,39.14988814,82.60869565
"New Brunswick, NJ",6 Months,2177,616,2336,213,126,499,107.3036288,234.2723005
"New Brunswick, NJ",12 Months,2177,616,1168,213,126,250,53.65181442,117.370892
"New Brunswick, NJ",18 Months,2177,616,762,213,126,163,35.00229674,76.5258216
"New Haven, CT",6 Months,2825,610,3291,286,118,713,116.4955752,249.3006993
"New Haven, CT",12 Months,2825,610,1646,286,118,357,58.26548673,124.8251748
"New Haven, CT",18 Months,2825,610,1073,286,118,233,37.98230088,81.46853147
"New Orleans, LA",6 Months,2491,869,1521,313,77,322,61.05981534,102.8753994
"New Orleans, LA",12 Months,2491,869,760,313,77,161,30.50983541,51.43769968
"New Orleans, LA",18 Months,2491,869,496,313,77,105,19.91168206,33.54632588
"Newark, NJ",6 Months,3636,1033,3376,403,195,713,92.84928493,176.9230769
"Newark, NJ",12 Months,3636,1033,1688,403,195,356,46.42464246,88.33746898
"Newark, NJ",18 Months,3636,1033,1101,403,195,232,30.28052805,57.56823821
"Newport News, VA",6 Months,905,251,1247,145,45,269,137.7900552,185.5172414
"Newport News, VA",12 Months,905,251,623,145,45,135,68.83977901,93.10344828
"Newport News, VA",18 Months,905,251,407,145,45,88,44.97237569,60.68965517
"Norfolk, VA",6 Months,2543,782,2814,276,82,597,110.6567047,216.3043478
"Norfolk, VA",12 Months,2543,782,1407,276,82,299,55.32835234,108.3333333
"Norfolk, VA",18 Months,2543,782,917,276,82,195,36.05977192,70.65217391
"Ocala, FL",6 Months,902,289,1374,150,51,328,152.3281596,218.6666667
"Ocala, FL",12 Months,902,289,687,150,51,164,76.16407982,109.3333333
"Ocala, FL",18 Months,902,289,448,150,51,107,49.66740576,71.33333333
"Odessa, TX",6 Months,1014,543,774,101,38,163,76.33136095,161.3861386
"Odessa, TX",12 Months,1014,543,387,101,38,81,38.16568047,80.1980198
"Odessa, TX",18 Months,1014,543,252,101,38,53,24.85207101,52.47524752
"Ogden, UT",6 Months,750,371,968,110,42,203,129.0666667,184.5454545
"Ogden, UT",12 Months,750,371,484,110,42,101,64.53333333,91.81818182
"Ogden, UT",18 Months,750,371,316,110,42,66,42.13333333,60
"Oklahoma City, OK",6 Months,5541,2447,4132,582,225,886,74.57137701,152.233677
"Oklahoma City, OK",12 Months,5541,2447,2066,582,225,443,37.2856885,76.11683849
"Oklahoma City, OK",18 Months,5541,2447,1347,582,225,289,24.30969139,49.65635739
"Olympia, WA",6 Months,558,173,901,84,25,197,161.4695341,234.5238095
"Olympia, WA",12 Months,558,173,450,84,25,98,80.64516129,116.6666667
"Olympia, WA",18 Months,558,173,294,84,25,64,52.68817204,76.19047619
"Omaha, NE",6 Months,4017,1742,2808,449,184,604,69.90291262,134.5211581
"Omaha, NE",12 Months,4017,1742,1404,449,184,302,34.95145631,67.26057906
"Omaha, NE",18 Months,4017,1742,916,449,184,197,22.80308688,43.8752784
"Orange County, CA",6 Months,5813,2236,7323,690,293,1556,125.9762601,225.5072464
"Orange County, CA",12 Months,5813,2236,3662,690,293,778,62.99673146,112.7536232
"Orange County, CA",18 Months,5813,2236,2388,690,293,507,41.08033718,73.47826087
"Orlando, FL",6 Months,10004,3292,8836,1284,448,1937,88.32467013,150.8566978
"Orlando, FL",12 Months,10004,3292,4418,1284,448,968,44.16233507,75.3894081
"Orlando, FL",18 Months,10004,3292,2881,1284,448,632,28.79848061,49.2211838
"Ormond Beach, FL",6 Months,872,359,996,158,63,229,114.2201835,144.9367089
"Ormond Beach, FL",12 Months,872,359,498,158,63,114,57.11009174,72.15189873
"Ormond Beach, FL",18 Months,872,359,325,158,63,75,37.2706422,47.46835443
"Owensboro, KY",6 Months,390,175,315,36,14,69,80.76923077,191.6666667
"Owensboro, KY",12 Months,390,175,158,36,14,34,40.51282051,94.44444444
"Owensboro, KY",18 Months,390,175,103,36,14,22,26.41025641,61.11111111
"Oxford, MS",6 Months,835,344,324,29,15,69,38.80239521,237.9310345
"Oxford, MS",12 Months,835,344,162,29,15,35,19.4011976,120.6896552
"Oxford, MS",18 Months,835,344,106,29,15,23,12.69461078,79.31034483
"Paducah, KY",6 Months,1490,779,824,117,57,182,55.30201342,155.5555556
"Paducah, KY",12 Months,1490,779,412,117,57,91,27.65100671,77.77777778
"Paducah, KY",18 Months,1490,779,269,117,57,59,18.05369128,50.42735043
"Palm Springs/Rancho Mira, CA",6 Months,974,404,895,69,23,204,91.88911704,295.6521739
"Palm Springs/Rancho Mira, CA",12 Months,974,404,447,69,23,102,45.89322382,147.826087
"Palm Springs/Rancho Mira, CA",18 Months,974,404,292,69,23,67,29.97946612,97.10144928
"Paterson, NJ",6 Months,1164,527,863,84,12,186,74.14089347,221.4285714
"Paterson, NJ",12 Months,1164,527,432,84,12,93,37.11340206,110.7142857
"Paterson, NJ",18 Months,1164,527,282,84,12,61,24.22680412,72.61904762
"Pensacola, FL",6 Months,2001,755,1779,230,91,385,88.90554723,167.3913043
"Pensacola, FL",12 Months,2001,755,889,230,91,193,44.42778611,83.91304348
"Pensacola, FL",18 Months,2001,755,580,230,91,126,28.98550725,54.7826087
"Peoria, IL",6 Months,1725,643,1323,156,71,290,76.69565217,185.8974359
"Peoria, IL",12 Months,1725,643,661,156,71,145,38.31884058,92.94871795
"Peoria, IL",18 Months,1725,643,431,156,71,94,24.98550725,60.25641026
"Petoskey, MI",6 Months,476,178,409,68,22,91,85.92436975,133.8235294
"Petoskey, MI",12 Months,476,178,205,68,22,46,43.06722689,67.64705882
"Petoskey, MI",18 Months,476,178,133,68,22,30,27.94117647,44.11764706
"Philadelphia, PA",6 Months,10697,3634,9240,1257,546,1984,86.3793587,157.8361177
"Philadelphia, PA",12 Months,10697,3634,4620,1257,546,992,43.18967935,78.91805887
"Philadelphia, PA",18 Months,10697,3634,3013,1257,546,647,28.16677573,51.47175815
"Phoenix, AZ",6 Months,6977,2567,7669,957,416,1649,109.918303,172.3092999
"Phoenix, AZ",12 Months,6977,2567,3835,957,416,825,54.9663179,86.20689655
"Phoenix, AZ",18 Months,6977,2567,2501,957,416,538,35.8463523,56.21734587
"Pittsburgh, PA",6 Months,8133,2738,6574,1079,420,1445,80.83118161,133.9202966
"Pittsburgh, PA",12 Months,8133,2738,3287,1079,420,722,40.4155908,66.91380908
"Pittsburgh, PA",18 Months,8133,2738,2144,1079,420,471,26.36173614,43.65152919
"Pontiac, MI",6 Months,911,321,1045,95,49,224,114.7091109,235.7894737
"Pontiac, MI",12 Months,911,321,522,95,49,112,57.29967069,117.8947368
"Pontiac, MI",18 Months,911,321,341,95,49,73,37.43139407,76.84210526
"Portland, ME",6 Months,2524,710,2466,209,92,539,97.70206022,257.8947368
"Portland, ME",12 Months,2524,710,1233,209,92,269,48.85103011,128.708134
"Portland, ME",18 Months,2524,710,804,209,92,176,31.85419968,84.21052632
"Portland, OR",6 Months,4684,1737,6136,661,278,1315,130.999146,198.9409985
"Portland, OR",12 Months,4684,1737,3068,661,278,657,65.49957301,99.39485628
"Portland, OR",18 Months,4684,1737,2001,661,278,429,42.71989752,64.90166415
"Providence, RI",6 Months,2249,690,2744,293,82,591,122.0097821,201.7064846
"Providence, RI",12 Months,2249,690,1372,293,82,295,61.00489106,100.6825939
"Providence, RI",18 Months,2249,690,895,293,82,193,39.79546465,65.87030717
"Provo, UT",6 Months,941,387,1174,122,52,242,124.7608927,198.3606557
"Provo, UT",12 Months,941,387,587,122,52,121,62.38044633,99.18032787
"Provo, UT",18 Months,941,387,383,122,52,79,40.70138151,64.75409836
"Pueblo, CO",6 Months,615,238,392,28,7,86,63.7398374,307.1428571
"Pueblo, CO",12 Months,615,238,196,28,7,43,31.8699187,153.5714286
"Pueblo, CO",18 Months,615,238,128,28,7,28,20.81300813,100
"Raleigh, NC",6 Months,3560,1124,4575,375,160,968,128.511236,258.1333333
"Raleigh, NC",12 Months,3560,1124,2288,375,160,484,64.26966292,129.0666667
"Raleigh, NC",18 Months,3560,1124,1492,375,160,316,41.91011236,84.26666667
"Rapid City, SD",6 Months,878,343,487,46,20,106,55.46697039,230.4347826
"Rapid City, SD",12 Months,878,343,244,46,20,53,27.7904328,115.2173913
"Rapid City, SD",18 Months,878,343,159,46,20,35,18.10933941,76.08695652
"Reading, PA",6 Months,1329,559,1309,99,50,285,98.4951091,287.8787879
"Reading, PA",12 Months,1329,559,655,99,50,142,49.28517682,143.4343434
"Reading, PA",18 Months,1329,559,427,99,50,93,32.12942062,93.93939394
"Redding, CA",6 Months,786,284,781,109,58,172,99.36386768,157.7981651
"Redding, CA",12 Months,786,284,391,109,58,86,49.74554707,78.89908257
"Redding, CA",18 Months,786,284,255,109,58,56,32.44274809,51.37614679
"Reno, NV",6 Months,1886,660,1697,406,128,369,89.97879109,90.88669951
"Reno, NV",12 Months,1886,660,848,406,128,184,44.96288441,45.32019704
"Reno, NV",18 Months,1886,660,553,406,128,120,29.32131495,29.55665025
"Richmond, VA",6 Months,4478,1488,3904,465,144,837,87.18177758,180
"Richmond, VA",12 Months,4478,1488,1952,465,144,419,43.59088879,90.10752688
"Richmond, VA",18 Months,4478,1488,1273,465,144,273,28.42786958,58.70967742
"Ridgewood, NJ",6 Months,814,275,941,83,35,202,115.6019656,243.373494
"Ridgewood, NJ",12 Months,814,275,471,83,35,101,57.86240786,121.686747
"Ridgewood, NJ",18 Months,814,275,307,83,35,66,37.71498771,79.51807229
"Roanoke, VA",6 Months,2189,593,1605,272,113,351,73.32115121,129.0441176
"Roanoke, VA",12 Months,2189,593,803,272,113,176,36.68341709,64.70588235
"Roanoke, VA",18 Months,2189,593,523,272,113,115,23.89218821,42.27941176
"Rochester, MN",6 Months,1835,594,902,240,90,197,49.15531335,82.08333333
"Rochester, MN",12 Months,1835,594,451,240,90,99,24.57765668,41.25
"Rochester, MN",18 Months,1835,594,294,240,90,64,16.02179837,26.66666667
"Rochester, NY",6 Months,3766,827,2894,289,87,626,76.84545937,216.6089965
"Rochester, NY",12 Months,3766,827,1447,289,87,313,38.42272969,108.3044983
"Rochester, NY",18 Months,3766,827,944,289,87,204,25.06638343,70.58823529
"Rockford, IL",6 Months,1320,613,1548,199,96,337,117.2727273,169.3467337
"Rockford, IL",12 Months,1320,613,774,199,96,168,58.63636364,84.42211055
"Rockford, IL",18 Months,1320,613,505,199,96,110,38.25757576,55.27638191
"Rome, GA",6 Months,733,229,620,74,16,134,84.58390177,181.0810811
